signal_id,signal_time_utc,session_tag,entry_candle_idx,horizon_candle_idx,horizon_end_utc,current_price,predicted_trend,true_trend,tp,sl,trend_success,tp_before_sl,level_success,level_forced,outcome,time_to_outcome_hours,volatility_score,is_high_volatility,error_injected,confidence_bull,confidence_flat,confidence_bear
1,2025-10-01T00:00:00+00:00,asia_open,48,72,2025-10-02T00:00:00+00:00,118594.99,flat,flat,125750.00,113227.29,1,0,0,0,no_hit,24.00,0.2268,0,0,0.0,70.0,30.0
2,2025-10-01T13:30:00+00:00,us_open,61,85,2025-10-02T13:00:00+00:00,118594.99,bull,bull,127314.09,114234.95,1,0,0,0,no_hit,24.00,0.3162,0,0,70.0,0.0,30.0
3,2025-10-02T00:00:00+00:00,asia_open,72,96,2025-10-03T00:00:00+00:00,120529.35,flat,flat,121551.51,120120.33,1,0,0,0,sl_hit_before_tp,1.00,0.3039,0,0,0.0,60.0,40.0
4,2025-10-02T13:30:00+00:00,us_open,85,109,2025-10-03T13:00:00+00:00,120529.35,bull,flat,121269.50,120354.69,0,0,0,0,sl_hit_before_tp,1.00,0.2195,0,1,60.0,0.0,40.0
5,2025-10-03T00:00:00+00:00,asia_open,96,120,2025-10-04T00:00:00+00:00,122232.00,bull,flat,127622.00,119537.00,0,0,0,0,sl_hit_before_tp,8.00,0.2574,0,1,70.0,0.0,30.0
6,2025-10-03T13:30:00+00:00,us_open,109,133,2025-10-04T13:00:00+00:00,122232.00,bull,flat,123895.00,119537.00,0,0,0,0,no_hit,24.00,0.2350,0,1,65.0,0.0,35.0
7,2025-10-04T00:00:00+00:00,asia_open,120,144,2025-10-05T00:00:00+00:00,122391.00,bull,flat,123895.00,121271.00,0,0,0,0,no_hit,24.00,0.2154,0,1,70.0,0.0,30.0
8,2025-10-04T13:30:00+00:00,us_open,133,157,2025-10-05T13:00:00+00:00,122391.00,bull,bull,127287.00,120529.00,1,0,0,0,no_hit,24.00,0.2061,0,0,70.0,0.0,30.0
9,2025-10-05T00:00:00+00:00,asia_open,144,168,2025-10-06T00:00:00+00:00,123482.31,bull,flat,128422.00,122391.00,0,0,0,0,sl_hit_before_tp,1.00,0.1339,0,1,75.0,0.0,25.0
10,2025-10-05T13:30:00+00:00,us_open,157,181,2025-10-06T13:00:00+00:00,123482.31,bull,bull,128421.61,121969.57,1,0,0,0,no_hit,24.00,0.2916,0,0,70.0,0.0,30.0
11,2025-10-06T00:00:00+00:00,asia_open,168,192,2025-10-07T00:00:00+00:00,124658.54,bull,flat,129644.88,122981.31,0,0,0,0,no_hit,24.00,0.3071,0,1,75.0,0.0,25.0
12,2025-10-06T13:30:00+00:00,us_open,181,205,2025-10-07T13:00:00+00:00,124658.54,bear,bear,133385.00,123327.96,1,0,0,0,sl_hit_before_tp,1.00,0.2152,0,0,30.0,0.0,70.0
13,2025-10-07T00:00:00+00:00,asia_open,192,216,2025-10-08T00:00:00+00:00,121332.95,flat,bull,121731.25,120543.67,0,0,0,1,sl_hit_before_tp,6.12,0.2603,0,1,20.0,40.0,40.0
14,2025-10-07T13:30:00+00:00,us_open,205,229,2025-10-08T13:00:00+00:00,121332.95,flat,bull,121640.99,120598.90,0,0,0,1,sl_hit_before_tp,8.21,0.2640,0,1,0.0,50.0,50.0
15,2025-10-08T00:00:00+00:00,asia_open,216,240,2025-10-09T00:00:00+00:00,123306.00,flat,flat,124098.36,122964.63,1,0,0,0,sl_hit_before_tp,1.00,0.3170,0,0,48.0,52.0,0.0
16,2025-10-08T13:30:00+00:00,us_open,229,253,2025-10-09T13:00:00+00:00,123306.00,bear,bear,126199.00,120574.00,1,0,0,0,sl_hit_before_tp,1.00,0.3246,0,0,40.0,0.0,60.0
17,2025-10-09T00:00:00+00:00,asia_open,240,264,2025-10-10T00:00:00+00:00,121662.40,flat,flat,122075.88,120948.17,1,0,0,1,sl_hit_before_tp,21.76,0.2935,0,0,33.0,34.0,33.0
18,2025-10-09T13:30:00+00:00,us_open,253,277,2025-10-10T13:00:00+00:00,121662.40,flat,flat,121927.85,121151.79,1,0,0,1,sl_hit_before_tp,1.56,0.3593,0,0,48.0,52.0,0.0
19,2025-10-10T00:00:00+00:00,asia_open,264,288,2025-10-11T00:00:00+00:00,112774.50,flat,flat,113065.01,112063.46,1,0,0,1,sl_hit_before_tp,16.35,0.3865,0,0,40.0,60.0,0.0
20,2025-10-10T13:30:00+00:00,us_open,277,301,2025-10-11T13:00:00+00:00,112774.50,bear,bear,114266.06,102000.00,1,0,0,0,sl_hit_before_tp,1.00,0.2934,0,0,45.0,0.0,55.0
21,2025-10-11T00:00:00+00:00,asia_open,288,312,2025-10-12T00:00:00+00:00,110644.40,bear,bear,102000.00,116326.00,1,0,0,0,no_hit,24.00,0.4566,1,0,35.0,0.0,65.0
22,2025-10-11T13:30:00+00:00,us_open,301,325,2025-10-12T13:00:00+00:00,110644.40,bear,bull,102000.00,116326.00,0,0,0,0,no_hit,24.00,0.7052,1,1,30.0,0.0,70.0
23,2025-10-12T00:00:00+00:00,asia_open,312,336,2025-10-13T00:00:00+00:00,114958.80,flat,flat,116238.00,114408.36,1,0,0,0,sl_hit_before_tp,1.00,0.5366,1,0,45.0,55.0,0.0
24,2025-10-12T13:30:00+00:00,us_open,325,349,2025-10-13T13:00:00+00:00,114958.80,flat,flat,118472.81,109565.06,1,0,0,0,no_hit,24.00,0.3209,0,0,45.0,55.0,0.0
25,2025-10-13T00:00:00+00:00,asia_open,336,360,2025-10-14T00:00:00+00:00,115166.00,flat,flat,115964.00,113617.00,1,0,0,0,sl_hit_before_tp,11.00,0.3358,0,0,40.0,60.0,0.0
26,2025-10-13T13:30:00+00:00,us_open,349,373,2025-10-14T13:00:00+00:00,115166.00,bear,bear,114298.52,115414.04,1,0,0,0,sl_hit_before_tp,1.00,0.3598,0,0,50.0,0.0,50.0
27,2025-10-14T00:00:00+00:00,asia_open,360,384,2025-10-15T00:00:00+00:00,113028.14,flat,flat,102000.00,115409.96,1,0,0,0,sl_hit_before_tp,1.00,0.3119,0,0,35.0,65.0,0.0
28,2025-10-14T13:30:00+00:00,us_open,373,397,2025-10-15T13:00:00+00:00,113028.14,bear,bear,109561.59,113509.51,1,0,0,0,sl_hit_before_tp,6.00,0.3599,0,0,35.0,0.0,65.0
29,2025-10-15T00:00:00+00:00,asia_open,384,408,2025-10-16T00:00:00+00:00,110763.28,bear,flat,102000.00,116000.00,0,0,0,0,no_hit,24.00,0.3694,0,1,20.0,0.0,80.0
30,2025-10-15T13:30:00+00:00,us_open,397,421,2025-10-16T13:00:00+00:00,110763.28,flat,flat,102000.00,113612.35,1,0,0,0,sl_hit_before_tp,1.00,0.2836,0,0,40.0,60.0,0.0
31,2025-10-16T00:00:00+00:00,asia_open,408,432,2025-10-17T00:00:00+00:00,108194.28,bull,bull,100000.00,112301.30,1,0,0,0,sl_hit_before_tp,1.00,0.2283,0,0,70.0,0.0,30.0
