signal_id,signal_time_utc,session_tag,entry_candle_idx,horizon_candle_idx,horizon_end_utc,current_price,predicted_trend,true_trend,tp,sl,trend_success,tp_before_sl,level_success,level_forced,outcome,time_to_outcome_hours,volatility_score,is_high_volatility,error_injected,confidence_bull,confidence_flat,confidence_bear
1,2025-09-01T01:08:00+00:00,asia_open,49,73,2025-09-02T01:00:00+00:00,108144.40,bull,bull,108751.78,108004.14,1,1,1,1,tp_hit_before_sl,13.25,0.1556,0,0,71.8,51.1,60.4
2,2025-09-01T13:21:00+00:00,us_open,61,85,2025-09-02T13:00:00+00:00,109026.40,bull,bull,109274.17,108525.20,1,1,1,0,tp_hit_before_sl,1.00,0.2592,0,0,62.3,36.9,53.1
3,2025-09-02T00:48:00+00:00,asia_open,72,96,2025-09-03T00:00:00+00:00,109030.00,bull,bull,109271.24,108528.16,1,1,1,0,tp_hit_before_sl,1.00,0.3366,0,0,74.0,45.1,60.0
4,2025-09-02T13:41:00+00:00,us_open,85,109,2025-09-03T13:00:00+00:00,111167.70,flat,flat,111523.85,110548.09,1,1,1,0,tp_hit_before_sl,1.00,0.3831,0,0,49.6,85.9,52.2
5,2025-09-03T00:56:00+00:00,asia_open,96,120,2025-09-04T00:00:00+00:00,111339.80,bull,bull,111984.28,111110.30,1,0,0,0,sl_hit_before_tp,1.00,0.3195,0,0,69.3,41.9,61.2
6,2025-09-03T13:25:00+00:00,us_open,109,133,2025-09-04T13:00:00+00:00,111472.50,bear,bear,110888.73,111661.87,1,0,0,0,sl_hit_before_tp,1.00,0.1907,0,0,51.0,53.7,74.9
7,2025-09-04T00:55:00+00:00,asia_open,120,144,2025-09-05T00:00:00+00:00,112063.00,bear,bear,111750.33,112589.74,1,1,1,0,tp_hit_before_sl,1.00,0.2121,0,0,44.9,42.2,77.5
8,2025-09-04T13:22:00+00:00,us_open,133,157,2025-09-05T13:00:00+00:00,110467.40,bull,bull,111053.56,110273.18,1,1,1,1,tp_hit_before_sl,8.91,0.2279,0,0,72.6,40.3,41.8
9,2025-09-05T01:11:00+00:00,asia_open,145,169,2025-09-06T01:00:00+00:00,111121.40,flat,flat,111457.67,110609.75,1,1,1,0,tp_hit_before_sl,1.00,0.3044,0,0,62.9,73.8,44.9
10,2025-09-05T13:21:00+00:00,us_open,157,181,2025-09-06T13:00:00+00:00,113080.50,bear,bear,112753.59,113609.89,1,1,1,0,tp_hit_before_sl,1.00,0.3297,0,0,55.8,61.6,67.0
11,2025-09-06T01:09:00+00:00,asia_open,169,193,2025-09-07T01:00:00+00:00,110865.80,flat,flat,111133.37,110360.48,1,1,1,0,tp_hit_before_sl,1.00,0.3444,0,0,51.5,87.5,51.7
12,2025-09-06T13:41:00+00:00,us_open,181,205,2025-09-07T13:00:00+00:00,110928.20,flat,flat,111736.91,110660.24,1,1,1,1,tp_hit_before_sl,14.71,0.2663,0,0,54.8,63.4,36.3
13,2025-09-07T01:05:00+00:00,asia_open,193,217,2025-09-08T01:00:00+00:00,110554.40,flat,flat,110833.99,109947.43,1,1,1,0,tp_hit_before_sl,6.00,0.1192,0,0,52.3,85.6,45.7
14,2025-09-07T13:20:00+00:00,us_open,205,229,2025-09-08T13:00:00+00:00,111221.10,bull,bull,111856.19,111054.47,1,0,0,0,sl_hit_before_tp,4.00,0.1181,0,0,81.8,61.9,37.8
