signal_id,signal_time_utc,session_tag,entry_candle_idx,horizon_candle_idx,horizon_end_utc,current_price,predicted_trend,true_trend,tp,sl,trend_success,tp_before_sl,level_success,level_forced,outcome,time_to_outcome_hours,volatility_score,is_high_volatility,error_injected,confidence_bull,confidence_flat,confidence_bear
1,2025-10-01T00:00:00+00:00,asia_open,48,72,2025-10-02T00:00:00+00:00,114239.53,flat,bull,114544.79,113668.06,0,0,0,1,sl_hit_before_tp,17.12,0.2268,0,1,0.0,100.0,0.0
2,2025-10-01T13:30:00+00:00,us_open,61,85,2025-10-02T13:00:00+00:00,116806.96,bull,bull,117274.19,0.00,1,1,1,0,tp_hit_before_sl,1.00,0.3162,0,0,50.0,0.0,50.0
3,2025-10-02T00:00:00+00:00,asia_open,72,96,2025-10-03T00:00:00+00:00,118428.46,flat,bull,118733.63,117984.90,0,0,0,1,sl_hit_before_tp,22.45,0.3039,0,1,0.0,100.0,0.0
4,2025-10-02T13:30:00+00:00,us_open,85,109,2025-10-03T13:00:00+00:00,119621.20,bull,bull,120099.68,0.00,1,1,1,0,tp_hit_before_sl,3.00,0.2195,0,0,50.0,0.0,50.0
5,2025-10-03T00:00:00+00:00,asia_open,96,120,2025-10-04T00:00:00+00:00,120132.80,flat,bull,120989.34,119755.51,0,0,0,0,sl_hit_before_tp,5.00,0.2574,0,1,0.0,100.0,0.0
6,2025-10-03T13:30:00+00:00,us_open,109,133,2025-10-04T13:00:00+00:00,120374.73,bull,bull,120856.23,0.00,1,1,1,0,tp_hit_before_sl,1.00,0.2350,0,0,100.0,0.0,0.0
7,2025-10-04T00:00:00+00:00,asia_open,120,144,2025-10-05T00:00:00+00:00,122100.00,flat,flat,122588.40,0.00,1,1,1,0,tp_hit_before_sl,5.00,0.2154,0,0,0.0,100.0,0.0
8,2025-10-04T13:30:00+00:00,us_open,133,157,2025-10-05T13:00:00+00:00,122385.42,flat,bull,123453.93,122138.63,0,0,0,0,sl_hit_before_tp,1.00,0.2061,0,1,0.0,100.0,0.0
9,2025-10-05T00:00:00+00:00,asia_open,144,168,2025-10-06T00:00:00+00:00,122157.70,flat,bull,122479.26,121427.07,0,0,0,1,sl_hit_before_tp,7.57,0.1339,0,1,0.0,50.0,50.0
10,2025-10-05T13:30:00+00:00,us_open,157,181,2025-10-06T13:00:00+00:00,123161.39,flat,bull,124327.30,122827.87,0,0,0,0,sl_hit_before_tp,1.00,0.2916,0,1,0.0,50.0,50.0
11,2025-10-06T00:00:00+00:00,asia_open,168,192,2025-10-07T00:00:00+00:00,123347.29,flat,bull,123753.03,122745.44,0,0,0,1,sl_hit_before_tp,4.66,0.3071,0,1,0.0,100.0,0.0
12,2025-10-06T13:30:00+00:00,us_open,181,205,2025-10-07T13:00:00+00:00,125031.33,flat,bear,125847.42,124643.76,0,0,0,0,sl_hit_before_tp,1.00,0.2152,0,1,0.0,100.0,0.0
13,2025-10-07T00:00:00+00:00,asia_open,192,216,2025-10-08T00:00:00+00:00,124900.93,flat,bear,125400.53,0.00,0,0,0,0,no_hit,24.00,0.2603,0,1,0.0,100.0,0.0
14,2025-10-07T13:30:00+00:00,us_open,205,229,2025-10-08T13:00:00+00:00,123891.68,flat,bear,124387.25,0.00,0,0,0,0,no_hit,24.00,0.2640,0,1,0.0,100.0,0.0
15,2025-10-08T00:00:00+00:00,asia_open,216,240,2025-10-09T00:00:00+00:00,121914.09,flat,bull,122536.41,121642.35,0,0,0,0,sl_hit_before_tp,1.00,0.3170,0,1,0.0,50.0,50.0
16,2025-10-08T13:30:00+00:00,us_open,229,253,2025-10-09T13:00:00+00:00,122599.04,flat,flat,123089.44,0.00,1,1,1,0,tp_hit_before_sl,1.00,0.3246,0,0,0.0,100.0,0.0
17,2025-10-09T00:00:00+00:00,asia_open,240,264,2025-10-10T00:00:00+00:00,122839.15,flat,bear,123636.54,122400.89,0,0,0,0,sl_hit_before_tp,1.00,0.2935,0,1,0.0,50.0,50.0
18,2025-10-09T13:30:00+00:00,us_open,253,277,2025-10-10T13:00:00+00:00,122415.74,bear,bear,122905.40,0.00,1,1,1,0,tp_hit_before_sl,1.00,0.3593,0,0,50.0,0.0,50.0
19,2025-10-10T00:00:00+00:00,asia_open,264,288,2025-10-11T00:00:00+00:00,121745.27,bear,bear,122232.25,0.00,1,1,1,0,tp_hit_before_sl,1.00,0.3865,0,0,0.0,0.0,100.0
20,2025-10-10T13:30:00+00:00,us_open,277,301,2025-10-11T13:00:00+00:00,121684.20,bear,bear,122170.94,0.00,1,1,1,0,tp_hit_before_sl,1.00,0.2934,0,0,0.0,0.0,100.0
21,2025-10-11T00:00:00+00:00,asia_open,288,312,2025-10-12T00:00:00+00:00,112514.58,flat,bear,113437.15,112283.13,0,0,0,0,sl_hit_before_tp,1.00,0.4566,1,1,0.0,100.0,0.0
22,2025-10-11T13:30:00+00:00,us_open,301,325,2025-10-12T13:00:00+00:00,112267.86,flat,bear,112716.93,0.00,0,0,0,0,no_hit,24.00,0.7052,1,1,0.0,50.0,50.0
23,2025-10-12T00:00:00+00:00,asia_open,312,336,2025-10-13T00:00:00+00:00,109641.54,flat,bull,109942.18,109179.73,0,0,0,1,sl_hit_before_tp,2.85,0.5366,1,1,0.0,100.0,0.0
24,2025-10-12T13:30:00+00:00,us_open,325,349,2025-10-13T13:00:00+00:00,111297.52,flat,bull,111651.46,110693.58,0,0,0,1,sl_hit_before_tp,11.42,0.3209,0,1,0.0,100.0,0.0
25,2025-10-13T00:00:00+00:00,asia_open,336,360,2025-10-14T00:00:00+00:00,115280.84,flat,flat,115741.96,0.00,1,1,1,0,tp_hit_before_sl,1.00,0.3358,0,0,0.0,100.0,0.0
26,2025-10-13T13:30:00+00:00,us_open,349,373,2025-10-14T13:00:00+00:00,115345.79,flat,bear,116111.35,115033.76,0,0,0,0,sl_hit_before_tp,1.00,0.3598,0,1,0.0,100.0,0.0
27,2025-10-14T00:00:00+00:00,asia_open,360,384,2025-10-15T00:00:00+00:00,114959.03,bear,bear,115418.87,0.00,1,1,1,0,tp_hit_before_sl,1.00,0.3119,0,0,50.0,0.0,50.0
28,2025-10-14T13:30:00+00:00,us_open,373,397,2025-10-15T13:00:00+00:00,111014.38,flat,flat,111458.44,0.00,1,1,1,0,tp_hit_before_sl,1.00,0.3599,0,0,0.0,100.0,0.0
29,2025-10-15T00:00:00+00:00,asia_open,384,408,2025-10-16T00:00:00+00:00,112993.86,bear,bear,113445.84,0.00,1,1,1,0,tp_hit_before_sl,1.00,0.3694,0,0,0.0,0.0,100.0
30,2025-10-15T13:30:00+00:00,us_open,397,421,2025-10-16T13:00:00+00:00,111389.00,flat,bear,112199.84,111143.67,0,0,0,0,sl_hit_before_tp,1.00,0.2836,0,1,0.0,100.0,0.0
31,2025-10-16T00:00:00+00:00,asia_open,408,432,2025-10-17T00:00:00+00:00,110431.27,bear,bear,110873.00,0.00,1,1,1,0,tp_hit_before_sl,1.00,0.2283,0,0,0.0,0.0,100.0
32,2025-10-16T13:30:00+00:00,us_open,421,445,2025-10-17T13:00:00+00:00,110860.00,flat,bear,111470.92,110688.81,0,0,0,0,sl_hit_before_tp,1.00,0.2888,0,1,0.0,50.0,50.0
33,2025-10-17T00:00:00+00:00,asia_open,432,456,2025-10-18T00:00:00+00:00,108800.00,flat,bear,109695.34,108586.53,0,0,0,0,sl_hit_before_tp,1.00,0.4760,1,1,0.0,50.0,50.0
34,2025-10-17T13:30:00+00:00,us_open,445,469,2025-10-18T13:00:00+00:00,105835.63,flat,bull,106575.50,105543.16,0,0,0,0,sl_hit_before_tp,1.00,0.5555,1,1,0.0,100.0,0.0
35,2025-10-18T00:00:00+00:00,asia_open,456,480,2025-10-19T00:00:00+00:00,106845.52,flat,flat,107272.90,0.00,1,1,1,0,tp_hit_before_sl,1.00,0.4825,1,0,0.0,100.0,0.0
36,2025-10-18T13:30:00+00:00,us_open,469,493,2025-10-19T13:00:00+00:00,106888.78,flat,bull,107652.62,106542.60,0,0,0,0,sl_hit_before_tp,3.00,0.3390,0,1,0.0,100.0,0.0
37,2025-10-19T00:00:00+00:00,asia_open,480,504,2025-10-20T00:00:00+00:00,106898.03,flat,bull,107858.40,106647.24,0,0,0,0,sl_hit_before_tp,6.00,0.1921,0,1,0.0,50.0,50.0
38,2025-10-19T13:30:00+00:00,us_open,493,517,2025-10-20T13:00:00+00:00,108096.34,flat,bull,108847.51,107916.80,0,0,0,0,sl_hit_before_tp,1.00,0.2042,0,1,0.0,50.0,50.0
39,2025-10-20T00:00:00+00:00,asia_open,504,528,2025-10-21T00:00:00+00:00,108047.46,flat,bull,108357.02,107469.53,0,0,0,1,sl_hit_before_tp,11.06,0.2727,0,1,0.0,50.0,50.0
40,2025-10-20T13:30:00+00:00,us_open,517,541,2025-10-21T13:00:00+00:00,111161.35,bear,bear,111606.00,0.00,1,1,1,0,tp_hit_before_sl,1.00,0.3056,0,0,0.0,0.0,100.0
41,2025-10-21T00:00:00+00:00,asia_open,528,552,2025-10-22T00:00:00+00:00,110446.69,flat,bear,111109.56,110051.76,0,0,0,0,sl_hit_before_tp,1.00,0.2934,0,1,0.0,100.0,0.0
42,2025-10-21T13:30:00+00:00,us_open,541,565,2025-10-22T13:00:00+00:00,108426.98,flat,flat,108860.69,0.00,1,1,1,0,tp_hit_before_sl,1.00,0.3225,0,0,0.0,50.0,50.0
43,2025-10-22T00:00:00+00:00,asia_open,552,576,2025-10-23T00:00:00+00:00,107986.14,flat,flat,108418.08,0.00,1,1,1,0,tp_hit_before_sl,1.00,0.6010,1,0,0.0,100.0,0.0
44,2025-10-22T13:30:00+00:00,us_open,565,589,2025-10-23T13:00:00+00:00,108783.36,flat,bull,109702.84,108619.91,0,0,0,0,sl_hit_before_tp,1.00,0.5498,1,1,0.0,100.0,0.0
45,2025-10-23T00:00:00+00:00,asia_open,576,600,2025-10-24T00:00:00+00:00,107845.30,flat,bull,108105.85,107318.23,0,0,0,1,sl_hit_before_tp,1.16,0.2701,0,1,0.0,100.0,0.0
46,2025-10-23T13:30:00+00:00,us_open,589,613,2025-10-24T13:00:00+00:00,109500.62,flat,bull,110030.29,109216.96,0,0,0,0,sl_hit_before_tp,1.00,0.2850,0,1,0.0,50.0,50.0
47,2025-10-24T00:00:00+00:00,asia_open,600,624,2025-10-25T00:00:00+00:00,110500.28,flat,flat,110942.28,0.00,1,1,1,0,tp_hit_before_sl,4.00,0.3348,0,0,0.0,100.0,0.0
48,2025-10-24T13:30:00+00:00,us_open,613,637,2025-10-25T13:00:00+00:00,110937.94,bull,bull,111381.69,0.00,1,1,1,0,tp_hit_before_sl,15.00,0.2719,0,0,100.0,0.0,0.0
49,2025-10-25T00:00:00+00:00,asia_open,624,648,2025-10-26T00:00:00+00:00,110766.60,flat,bull,111100.06,110257.11,0,0,0,1,sl_hit_before_tp,3.60,0.1913,0,1,0.0,100.0,0.0
